;Código do produto;Produto;Valor de compra sem impostos
536;2;yampa - software financeiro da 4blue;45.5
537;3;Maratona de Finanças - Experiência VIP;15.7
539;13;Curso de Precificação para Produtos e Serviços;357.0
542;16;Gestão Financeira Lucrativa 3.0;557.0
543;2;yampa - software financeiro da 4blue;1.0
545;2;yampa - software financeiro da 4blue;45.5
546;2;yampa - software financeiro da 4blue;145.0
548;1;Iluminismo Financeiro 2.1;455.0
549;2;yampa - software financeiro da 4blue;1.0
551;2;yampa - software financeiro da 4blue;45.5
552;2;yampa - software financeiro da 4blue;1.0
564;2;yampa - software financeiro da 4blue;45.5
565;2;yampa - software financeiro da 4blue;45.5
567;2;yampa - software financeiro da 4blue;45.5
568;2;yampa - software financeiro da 4blue;45.5
570;2;yampa - software financeiro da 4blue;45.5
572;2;yampa - software financeiro da 4blue;45.5
573;2;yampa - software financeiro da 4blue;45.5
574;2;yampa - software financeiro da 4blue;45.5
576;2;yampa - software financeiro da 4blue;45.5
577;1;Iluminismo Financeiro 2.1;3000.0
578;3;Maratona de Finanças - Experiência VIP;15.7
579;2;yampa - software financeiro da 4blue;45.5
580;2;yampa - software financeiro da 4blue;45.5
582;2;yampa - software financeiro da 4blue;1.0
585;2;yampa - software financeiro da 4blue;45.5
587;2;yampa - software financeiro da 4blue;45.5
589;2;yampa - software financeiro da 4blue;45.5
590;2;yampa - software financeiro da 4blue;45.5
591;2;yampa - software financeiro da 4blue;45.5
593;2;yampa - software financeiro da 4blue;1.0
594;2;yampa - software financeiro da 4blue;1.0
595;2;yampa - software financeiro da 4blue;45.5
596;2;yampa - software financeiro da 4blue;145.0
597;2;yampa - software financeiro da 4blue;1.0
598;2;yampa - software financeiro da 4blue;45.5
599;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;57.0
600;2;yampa - software financeiro da 4blue;145.0
601;2;yampa - software financeiro da 4blue;45.5
602;2;yampa - software financeiro da 4blue;45.5
603;2;yampa - software financeiro da 4blue;45.5
606;2;yampa - software financeiro da 4blue;45.5
607;2;yampa - software financeiro da 4blue;1.0
612;1;Iluminismo Financeiro 2.1;4154.1
614;1;Iluminismo Financeiro 2.1;455.0
616;3;Maratona de Finanças - Experiência VIP;15.7
619;2;yampa - software financeiro da 4blue;45.5
620;2;yampa - software financeiro da 4blue;1.0
621;2;yampa - software financeiro da 4blue;45.5
623;15;Gestão Financeira Lucrativa 1.0;1557.0
624;2;yampa - software financeiro da 4blue;45.5
627;2;yampa - software financeiro da 4blue;45.5
631;2;yampa - software financeiro da 4blue;45.5
637;2;yampa - software financeiro da 4blue;45.5
639;2;yampa - software financeiro da 4blue;45.5
641;2;yampa - software financeiro da 4blue;45.5
646;2;yampa - software financeiro da 4blue;145.0
647;3;Maratona de Finanças - Experiência VIP;15.7
650;1;Iluminismo Financeiro 2.1;455.0
653;3;Maratona de Finanças - Experiência VIP;15.7
654;3;Maratona de Finanças - Experiência VIP;15.7
656;3;Maratona de Finanças - Experiência VIP;15.7
657;3;Maratona de Finanças - Experiência VIP;15.7
658;2;yampa - software financeiro da 4blue;450.0
663;1;Iluminismo Financeiro 2.1;455.0
670;2;yampa - software financeiro da 4blue;45.5
682;1;Iluminismo Financeiro 2.1;4154.1
687;1;Iluminismo Financeiro 2.1;4550.0
688;1;Iluminismo Financeiro 2.1;4154.1
689;1;Iluminismo Financeiro 2.1;3148.1
693;1;Iluminismo Financeiro 2.1;455.0
694;1;Iluminismo Financeiro 2.1;455.0
695;1;Iluminismo Financeiro 2.1;455.0
699;1;Iluminismo Financeiro 2.1;455.0
708;1;Iluminismo Financeiro 2.1;455.0
711;2;yampa - software financeiro da 4blue;1.0
712;3;Maratona de Finanças - Experiência VIP;15.7
713;3;Maratona de Finanças - Experiência VIP;15.7
718;3;Maratona de Finanças - Experiência VIP;15.7
719;10;Formação em Gestão Financeira Online;535.0
720;11;Curso de Controle Financeiro e Fluxo de Caixa;357.0
721;2;yampa - software financeiro da 4blue;1.0
723;2;yampa - software financeiro da 4blue;45.5
724;2;yampa - software financeiro da 4blue;45.5
725;2;yampa - software financeiro da 4blue;45.5
726;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;145.0
727;2;yampa - software financeiro da 4blue;45.5
728;2;yampa - software financeiro da 4blue;45.5
730;2;yampa - software financeiro da 4blue;1.0
731;2;yampa - software financeiro da 4blue;1.0
733;2;yampa - software financeiro da 4blue;145.0
734;13;Curso de Precificação para Produtos e Serviços;357.0
735;2;yampa - software financeiro da 4blue;45.5
737;2;yampa - software financeiro da 4blue;45.5
738;2;yampa - software financeiro da 4blue;1.0
739;2;yampa - software financeiro da 4blue;45.5
740;2;yampa - software financeiro da 4blue;45.5
741;2;yampa - software financeiro da 4blue;45.5
743;2;yampa - software financeiro da 4blue;45.5
744;2;yampa - software financeiro da 4blue;45.5
745;2;yampa - software financeiro da 4blue;45.5
746;2;yampa - software financeiro da 4blue;35.5
747;2;yampa - software financeiro da 4blue;45.5
748;2;yampa - software financeiro da 4blue;1.0
749;2;yampa - software financeiro da 4blue;45.5
750;2;yampa - software financeiro da 4blue;45.5
751;2;yampa - software financeiro da 4blue;45.5
752;2;yampa - software financeiro da 4blue;45.5
753;2;yampa - software financeiro da 4blue;45.5
754;2;yampa - software financeiro da 4blue;45.5
755;2;yampa - software financeiro da 4blue;145.0
756;2;yampa - software financeiro da 4blue;45.5
757;2;yampa - software financeiro da 4blue;45.5
760;2;yampa - software financeiro da 4blue;45.5
761;2;yampa - software financeiro da 4blue;45.5
762;2;yampa - software financeiro da 4blue;1.0
763;2;yampa - software financeiro da 4blue;45.5
765;2;yampa - software financeiro da 4blue;1.0
766;2;yampa - software financeiro da 4blue;1.0
767;2;yampa - software financeiro da 4blue;45.5
768;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;145.0
770;2;yampa - software financeiro da 4blue;145.0
772;2;yampa - software financeiro da 4blue;45.5
773;2;yampa - software financeiro da 4blue;1.0
774;2;yampa - software financeiro da 4blue;45.5
776;2;yampa - software financeiro da 4blue;45.5
778;2;yampa - software financeiro da 4blue;45.5
779;2;yampa - software financeiro da 4blue;45.5
780;2;yampa - software financeiro da 4blue;45.5
782;2;yampa - software financeiro da 4blue;45.5
783;2;yampa - software financeiro da 4blue;45.5
784;2;yampa - software financeiro da 4blue;45.5
786;2;yampa - software financeiro da 4blue;45.5
787;2;yampa - software financeiro da 4blue;45.5
788;2;yampa - software financeiro da 4blue;45.5
789;2;yampa - software financeiro da 4blue;45.5
792;2;yampa - software financeiro da 4blue;45.5
793;2;yampa - software financeiro da 4blue;45.5
794;2;yampa - software financeiro da 4blue;45.5
796;2;yampa - software financeiro da 4blue;45.5
799;2;yampa - software financeiro da 4blue;1.0
800;2;yampa - software financeiro da 4blue;145.0
802;2;yampa - software financeiro da 4blue;45.5
803;2;yampa - software financeiro da 4blue;45.5
804;2;yampa - software financeiro da 4blue;45.5
805;2;yampa - software financeiro da 4blue;45.5
806;2;yampa - software financeiro da 4blue;35.5
808;2;yampa - software financeiro da 4blue;45.5
809;2;yampa - software financeiro da 4blue;45.5
810;2;yampa - software financeiro da 4blue;45.5
811;2;yampa - software financeiro da 4blue;45.5
815;2;yampa - software financeiro da 4blue;45.5
816;2;yampa - software financeiro da 4blue;45.5
817;2;yampa - software financeiro da 4blue;45.5
818;2;yampa - software financeiro da 4blue;45.5
819;2;yampa - software financeiro da 4blue;45.5
823;2;yampa - software financeiro da 4blue;45.5
824;2;yampa - software financeiro da 4blue;45.5
826;2;yampa - software financeiro da 4blue;45.5
831;2;yampa - software financeiro da 4blue;45.5
832;2;yampa - software financeiro da 4blue;45.5
833;2;yampa - software financeiro da 4blue;145.0
835;2;yampa - software financeiro da 4blue;45.5
